,nickname,R,F,M
745,0t_1486866267359_01,104,1,35
746,0t_1495207334764_00,10,1,38
747,0t_1496216810383_06,141,1,147
748,0t_1496655325143_00,71,2,496
749,0t_1498632213613_02,71,1,143
750,0t_1498988497022_07,1,1,223
751,0t_1502800770565_09,141,1,45
752,0t_1502950661184_02,13,1,225
753,0takeshi19,104,2,161
754,0tangyun08,4,1,34
755,0taomimi06,3,1,212
756,0tb00393930,103,1,143
757,0tb02093580,104,1,99
758,0tb02671,121,1,125
759,0tb0498860,141,1,79
760,0tb0551950,132,1,163
761,0tb06254030,5,1,94
762,0tb07242880,104,1,245
763,0tb07575860,144,1,258
764,0tb0801,104,1,33
765,0tb1108650,139,1,223
766,0tb11139860,104,1,241
767,0tb11930450,141,1,205
768,0tb120067,139,1,64
769,0tb128990,25,1,149
770,0tb1552710,107,1,49
771,0tb16666600,115,1,174
772,0tb16842,43,1,236
773,0tb18016790,48,1,32
774,0tb18093280,7,1,110
775,0tb189918363,141,1,163
776,0tb19708130,119,1,153
777,0tb20195120,144,1,171
778,0tb2064852,79,1,149
779,0tb2070433,43,1,97
780,0tb21686330,141,1,107
781,0tb24352300,62,1,34
782,0tb2479674,139,1,115
783,0tb26882,43,1,87
784,0tb274937,141,1,84
785,0tb2755116,115,1,121
786,0tb30102340,103,1,145
787,0tb30733790,141,1,152
788,0tb348328,117,1,144
789,0tb353910,93,1,258
790,0tb40635,43,1,33
791,0tb408895,141,1,31
792,0tb414230,103,1,201
793,0tb42856,114,1,49
794,0tb430383,130,1,262
795,0tb48095,8,1,244
796,0tb482880,131,1,87
797,0tb487341,128,1,89
798,0tb499251,103,1,117
799,0tb499540,104,1,165
800,0tb511729,61,1,117
801,0tb51989,74,1,131
802,0tb56081370,64,1,118
803,0tb5624,5,1,199
804,0tb5649447,43,1,251
805,0tb570496,88,1,119
806,0tb580366,43,2,178
807,0tb582159,68,1,144
808,0tb6319,141,1,73
809,0tb651360,104,1,109
810,0tb652170,8,1,144
811,0tb66618,104,1,161
812,0tb67121190,141,1,64
813,0tb69917,40,1,149
814,0tb6998730,130,1,224
815,0tb71602,131,1,260
816,0tb74309,123,1,82
817,0tb75073320,133,1,204
818,0tb756985,82,1,259
819,0tb8020460,7,1,94
820,0tb81709770,134,1,256
821,0tb822728,7,1,34
822,0tb8257190,105,1,54
823,0tb830160,135,1,65
824,0tb8328270,141,1,87
825,0tb86970080,141,1,82
826,0tb885557,104,1,128
827,0tb9109,88,1,149
828,0tb931339,133,1,198
829,0tb971609,141,1,242
830,0tb973720,43,1,211
831,0tb983482,141,1,30
832,0tb988738,129,1,72
833,0tb98898720,62,1,94
834,0tb_03016,141,1,189
835,0tb_06859,123,1,157
836,0tb_12934,141,1,241
837,0tb_1577,138,1,124
838,0tb_19647,136,1,63
839,0tb_20350,141,1,40
840,0tb_25183,41,1,247
841,0tb_3351,134,1,228
842,0tb_34383,134,1,60
843,0tb_35703,7,1,94
844,0tb_59087,102,1,170
845,0tb_60885,43,1,44
846,0tb_67022,139,1,190
847,0tb_67777,141,1,79
848,0tb_71447,102,1,41
849,0tb_73001,104,1,209
850,0tb_7752,21,1,161
851,0tb_78555,125,1,46
852,0tb_88919,141,1,79
853,0tb_93818,138,1,247
854,0temps04,104,1,230
855,0teresa8317,4,1,89
856,0tillyo28,55,1,212
857,0timelostjia05,138,1,65
858,0tina2,104,1,193
